subgenre_name,number_of_appearances,brand_id
lo-fi,1637,1
lo-fi beats,1235,1
afro house,1195,1
tech house,1112,1
classical,1075,1
melodic house,1068,1
lounge,982,1
techno,944,1
melodic techno,943,1
organic house,903,1
jazz,832,1
chill house,778,1
nu disco,777,1
phonk,760,1
funky house,724,1
afrobeat,724,1
tribal house,710,1
deep house,704,1
latin house,689,1
progressive house,678,1
hyperpop,677,1
tropical house,653,1
disco house,635,1
slap house,617,1
bass house,613,1
amapiano,613,1
flamenco,610,1
bossa nova,587,1
latin indie,568,1
gqom,555,1
turkish pop,547,1
french pop,526,1
minimal techno,526,1
afrobeats,520,1
afropop,515,1
j-pop,513,1
acid techno,498,1
future bass,496,1
sludge metal,492,1
bollywood,487,1
trance,478,1
opera,475,1
stoner rock,475,1
mandopop,470,1
worship,468,1
reggae,466,1
doom metal,462,1
c-pop,458,1
indian indie,448,1
g-house,445,1
thai pop,444,1
drum and bass,443,1
jazz beats,441,1
afro soul,435,1
nu jazz,429,1
downtempo,428,1
v-pop,424,1
italo dance,421,1
funk,405,1
hindi indie,398,1
mpb,394,1
anime,391,1
hard techno,390,1
taiwanese pop,388,1
norwegian pop,384,1
future house,381,1
italo disco,381,1
desi,378,1
t-pop,372,1
musicals,371,1
j-r&b,368,1
laïko,363,1
indie dance,362,1
indonesian pop,361,1
nova mpb,359,1
french house,352,1
german hip hop,352,1
flamenco pop,348,1
space rock,338,1
tamil pop,336,1
hardcore punk,336,1
dancehall,334,1
gospel,333,1
drift phonk,333,1
uk garage,330,1
opm,323,1
lo-fi house,320,1
highlife,319,1
latin alternative,318,1
chanson,317,1
j-rap,316,1
ambient,313,1
japanese indie,313,1
salsa,312,1
k-pop,310,1
cumbia,310,1
piano house,308,1
children's music,308,1
brazilian funk,302,1
alté,302,1
christian,301,1
classical piano,298,1
progressive trance,297,1
punk,294,1
reggaeton,293,1
entehno,292,1
acid jazz,289,1
bolero,284,1
chicago house,282,1
stutter house,281,1
house,280,1
jazz rap,280,1
jazz funk,279,1
chamber music,279,1
hindi pop,277,1
hi-nrg,276,1
city pop,276,1
big room,275,1
hardcore,271,1
big band,270,1
post-punk,269,1
zouk,269,1
christmas,268,1
acid house,268,1
finnish pop,268,1
samba,265,1
kizomba,265,1
vocal jazz,263,1
dubstep,263,1
dub,262,1
ragga,262,1
orchestra,259,1
dark trap,259,1
tango,258,1
nederpop,258,1
desi hip hop,257,1
witch house,256,1
neoclassical,256,1
punjabi pop,253,1
swing music,252,1
turkish hip hop,252,1
variété française,250,1
singer-songwriter,247,1
brazilian bass,247,1
brazilian jazz,246,1
bassline,246,1
german pop,245,1
finnish hip hop,242,1
bhangra,241,1
country,239,1
italian trap,239,1
chinese indie,239,1
malay,238,1
devotional,237,1
dub techno,237,1
trip hop,236,1
russelåter,234,1
jazz fusion,232,1
synthpop,231,1
liquid funk,231,1
roots reggae,230,1
pinoy r&b,229,1
idm,228,1
chinese r&b,228,1
rap nacional,227,1
rock en español,227,1
hard bop,224,1
drill,224,1
grime,222,1
merengue,222,1
arabesque,222,1
jungle,221,1
kollywood,221,1
mexican indie,220,1
eurodance,219,1
lullaby,219,1
latin jazz,218,1
melodic bass,218,1
metalcore,218,1
shoegaze,217,1
electroclash,216,1
khaleeji,216,1
dream pop,214,1
drone,214,1
neo soul,213,1
cool jazz,213,1
k-ballad,213,1
pinoy hip hop,213,1
vietnamese hip hop,211,1
indie folk,210,1
tekno,209,1
smooth jazz,207,1
latin hip hop,205,1
choral,205,1
sufi,203,1
hindi hip hop,202,1
psychedelic rock,201,1
french jazz,201,1
uk funky,200,1
j-rock,200,1
cantopop,199,1
punjabi hip hop,198,1
blues,195,1
synthwave,195,1
moombahton,193,1
new wave,192,1
breakbeat,191,1
afroswing,191,1
alternative r&b,190,1
hiplife,189,1
east coast hip hop,188,1
disco,188,1
darkwave,186,1
pop urbaine,185,1
chillstep,184,1
vietnam indie,184,1
retro soul,182,1
americana,182,1
hardstyle,182,1
edm trap,182,1
argentine rock,180,1
malay pop,179,1
trap,178,1
cold wave,178,1
emo rap,178,1
post-disco,177,1
portuguese hip hop,177,1
northern soul,176,1
brazilian evangelical music,176,1
bhajan,176,1
shibuya-kei,176,1
arabic rap,176,1
norwegian rap,176,1
kuduro,175,1
dark ambient,173,1
telugu pop,172,1
banda,172,1
metal,170,1
celtic,170,1
azonto,170,1
chinese hip hop,170,1
bebop,169,1
raï,169,1
minimalism,168,1
soundtrack,167,1
ska,166,1
glitch,166,1
chillwave,165,1
epadunk,165,1
thai hip hop,165,1
vinahouse,164,1
schlager,164,1
taiwanese indie,164,1
bedroom pop,163,1
marathi pop,163,1
dembow,162,1
latin rock,161,1
latin folk,160,1
indonesian indie,160,1
boom bap,159,1
p-pop,159,1
k-rap,158,1
tollywood,156,1
gengetone,156,1
anatolian rock,155,1
pinoy indie,155,1
son cubano,154,1
vietnamese lo-fi,154,1
sertanejo,153,1
eurotrance,153,1
blues rock,152,1
underground hip hop,152,1
power pop,152,1
desi pop,152,1
latin pop,151,1
lovers rock,151,1
riddim,151,1
edm,150,1
alt country,149,1
post-rock,149,1
chill beats,149,1
brazilian pop,148,1
new age,148,1
cedm,147,1
melbourne bounce,147,1
garage rock,146,1
brazilian trap,146,1
pagode,145,1
mexican rock,145,1
egyptian pop,145,1
corrido,145,1
trap funk,145,1
free jazz,144,1
manele,144,1
hard house,143,1
uk drill,142,1
salsa romantica,142,1
italian singer-songwriter,142,1
cloud rap,142,1
j-dance,142,1
post-hardcore,141,1
norteño,141,1
jangle pop,140,1
canzone napoletana,140,1
indietronica,140,1
folk pop,139,1
haryanvi pop,139,1
flamenco urbano,138,1
surf rock,138,1
tamil dance,137,1
rocksteady,136,1
avant-garde,136,1
iskelmä,135,1
bongo flava,135,1
chamber pop,134,1
pop punk,134,1
latin r&b,133,1
doo-wop,133,1
christian hip hop,132,1
bass music,131,1
experimental,131,1
gnawa,131,1
guaracha,129,1
christian pop,128,1
west coast hip hop,126,1
música tropical,126,1
gospel r&b,126,1
schlagerparty,126,1
folk,125,1
ghazal,125,1
jersey club,125,1
requiem,124,1
art pop,123,1
gothic country,121,1
mizrahi,120,1
slowcore,120,1
soca,119,1
pop worship,119,1
trova,119,1
vallenato,119,1
colombian pop,118,1
rhumba,118,1
vocaloid,118,1
funk carioca,117,1
quiet storm,117,1
kayokyoku,116,1
southern hip hop,116,1
reggaeton mexa,116,1
progressive rock,115,1
exotica,115,1
electro swing,115,1
timba,115,1
rkt,115,1
horrorcore,114,1
ragtime,113,1
g-funk,113,1
hardcore techno,113,1
bachata,113,1
ebm,113,1
gabber,113,1
trap latino,112,1
neomelodico,112,1
finnish rock,112,1
motown,111,1
qawwali,111,1
brega,111,1
brazilian rock,110,1
industrial,110,1
happy hardcore,110,1
indie jazz,110,1
ccm,110,1
soul,109,1
fado,109,1
modern blues,109,1
baroque pop,109,1
música mexicana,109,1
electro house,108,1
vaporwave,108,1
medieval,108,1
skate punk,107,1
britpop,106,1
indie,106,1
ska punk,106,1
psychedelic pop,106,1
rockabilly,105,1
proto-punk,104,1
malaysian pop,104,1
psytrance,103,1
harana,103,1
swedish ballads,102,1
arrocha,102,1
forró,102,1
reggae en español,102,1
brega funk,102,1
soul jazz,101,1
electronic,101,1
mambo,101,1
mexican hip hop,100,1
album rock,100,1
noise rock,99,1
breakcore,99,1
jazz blues,98,1
turreo,98,1
cha cha cha,98,1
miami bass,98,1
hands up,98,1
new jack swing,97,1
sertanejo universitário,97,1
spoken word,97,1
mariachi,97,1
ranchera,97,1
mahraganat,97,1
traditional music,96,1
dansktop,96,1
frenchcore,95,1
neoperreo,95,1
afro adura,94,1
champeta,93,1
emo,93,1
rave,93,1
piseiro,93,1
asakaa,92,1
art rock,91,1
nueva trova,91,1
krautrock,90,1
progressive metal,90,1
bangla pop,90,1
egyptian hip hop,90,1
hip house,89,1
corridos bélicos,89,1
disco polo,89,1
axé,88,1
grupera,88,1
indie r&b,86,1
experimental hip hop,86,1
europop,86,1
roots rock,85,1
acid rock,85,1
r&b,85,1
deathstep,85,1
glam rock,84,1
melodic hardcore,84,1
thai rock,84,1
djent,84,1
reggaeton chileno,83,1
argentine trap,82,1
math rock,81,1
christian alternative rock,81,1
malayalam pop,80,1
thai trap,80,1
new beat,79,1
corridos tumbados,79,1
acoustic pop,78,1
cuarteto,78,1
bluegrass,77,1
indorock,77,1
african gospel,77,1
classic rock,76,1
drumstep,76,1
symphonic rock,75,1
rap metal,75,1
deathrock,75,1
screamo,75,1
chilean trap,75,1
funk consciente,75,1
madchester,74,1
urbano latino,74,1
neue deutsche welle,73,1
hard rock,72,1
philly soul,72,1
malay rap,72,1
sovietwave,71,1
christian rock,70,1
classic blues,70,1
christian folk,70,1
gothic metal,70,1
sierreño,70,1
funk de bh,70,1
new rave,69,1
melodic metal,69,1
agronejo,69,1
gufeng,69,1
folk rock,68,1
cumbia sonidera,68,1
oyun havasi,68,1
alternative dance,67,1
big beat,67,1
post-grunge,67,1
mollywood,67,1
memphis rap,66,1
tamil hip hop,66,1
nu metal,65,1
freestyle,65,1
tamil indie,65,1
kannada pop,65,1
moroccan chaabi,65,1
folklore argentino,64,1
deathcore,64,1
hip hop,63,1
glam metal,62,1
funk melody,62,1
country rock,61,1
nightcore,61,1
hardcore hip hop,61,1
k-rock,61,1
vietnamese bolero,61,1
chinese rock,61,1
alternative hip hop,60,1
indie rock,59,1
gangster rap,59,1
rock urbano,59,1
electronic rock,59,1
space music,59,1
speedcore,59,1
adult standards,58,1
crunk,58,1
alternative metal,57,1
bachata pop,57,1
death metal,56,1
soft rock,55,1
pentecostal,55,1
gregorian chant,55,1
kundiman,55,1
chilean mambo,55,1
soul blues,54,1
electronica,54,1
industrial metal,54,1
calypso,54,1
red dirt,54,1
ethiopian jazz,54,1
dansband,54,1
chicha,54,1
seresta,53,1
sad sierreño,53,1
electro corridos,53,1
latin,51,1
luk thung,51,1
rock,50,1
newgrass,50,1
melodic rap,50,1
meme rap,50,1
funkot,50,1
bhojpuri pop,50,1
dangdut,50,1
cumbia norteña,49,1
southern rock,48,1
huayno,48,1
gujarati garba,48,1
industrial rock,47,1
singeli,47,1
karadeniz folk,47,1
enka,46,1
heavy metal,46,1
neofolk,45,1
midwest emo,44,1
funk rock,43,1
traditional country,43,1
comedy,43,1
japanese classical,43,1
thai indie pop,43,1
grunge,42,1
texas country,42,1
folk punk,42,1
groove metal,42,1
country blues,41,1
latin afrobeat,41,1
indie pop,41,1
symphonic metal,41,1
tejano,41,1
pinoy rock,41,1
funk pop,40,1
boogie-woogie,40,1
emocore,40,1
arena rock,40,1
melodic death metal,40,1
phleng phuea chiwit,40,1
celtic rock,39,1
easy listening,39,1
polka,39,1
rage rap,39,1
gujarati pop,39,1
pagode baiano,38,1
pinoy alternative,38,1
nz reggae,37,1
power metal,37,1
rock and roll,36,1
electro,36,1
reggae rock,36,1
mexican ska,36,1
sandalwood,36,1
egyptian shaabi,36,1
southern thai music,36,1
alternative rock,35,1
bhojiwood,35,1
tecnobrega,34,1
hyphy,34,1
sea shanties,34,1
black metal,34,1
folk metal,33,1
thrash metal,33,1
grindcore,33,1
popular colombian music,32,1
smooth r&b,32,1
dark cabaret,31,1
emo pop,31,1
speed metal,31,1
psychobilly,30,1
bounce,29,1
acoustic country,29,1
sholawat,29,1
rap,28,1
smooth soul,28,1
maluku,28,1
honky tonk,27,1
punk rap,27,1
christian country,27,1
rap rock,27,1
alternative pop,27,1
sertanejo tradicional,27,1
malayalam hip hop,26,1
new york drill,26,1
aussie drill,26,1
acoustic rock,25,1
pop soul,23,1
nerdcore,23,1
electropop,23,1
budots,23,1
country hip hop,22,1
bubblegum pop,22,1
pop country,21,1
brooklyn drill,20,1
pirate metal,20,1
lagu timur,20,1
bisrock,19,1
soft pop,18,1
boogie,18,1
latin dance,17,1
modern rock,17,1
go-go,17,1
anime rap,17,1
japanese vgm,17,1
visual kei,15,1
medieval metal,15,1
acoustic folk,14,1
forro tradicional,14,1
punta,14,1
duranguense,14,1
norteño-sax,14,1
lagu jawa,14,1
pop rock,13,1
fújì,13,1
thai indie rock,12,1
pop,11,1
pop urbano,10,1
algerian chaabi,7,1
southern gospel,6,1
batak,5,1
pop r&b,5,1
dance pop,4,1
dance,3,1
punto guajiro,1,1
pop rap,1,1
latin afrobeats,1,1
